GPSwpt,Site,IndivID,refuge_category,Moving,Length,Width,HeightWW,PathToOcean,SurfAngle,DistToOpenH2O,DistToShelter,DistToUnderrock,ShelterType,DistToLittpint,DistToCrustose,CompassSurf,CompassOcean,Pics,ColorRibs,Erosion,ColorInter,RockMove,Substrate,Notes,LimuOnShell,SpotOnTransect,Hypot,Alt,Angle,ShoreType
48,KahuluiBreakwaterBasaltInside,1,refuge,y,1.72,1.43,0.43,y,53,0,0,NA,underrock,1.52,-0.9,170,107,2-Jan,100black,0,tanbrown,n,basalt,,n,boulder,NA,NA,NA,bb
48,KahuluiBreakwaterBasaltInside,2,exposed,n,1.06,0.85,0.29,y,83.5,-0.45,-0.95,NA,crevice,1,-0.95,354,107,4-Mar,100black,0,tanbrown,n,basalt,,n,boulder,NA,NA,NA,bb
50,KahuluiBreakwaterBasaltInside,3,exposed,n,1.48,1.19,0.44,y,75.7,-2.87,-1.1,NA,crevice,2.78,-2.87,85,123,6-May,100black,0,brown,n,basalt,,n,boulder,NA,NA,NA,bb
49,KahuluiBreakwaterBasaltInside,4,exposed,n,1.47,1.23,0.39,y,56.3,-1.49,-0.8,NA,underrock,4.45,-1.49,64,97,8-Jul,100black,0,tan ,n,basalt,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
49,KahuluiBreakwaterBasaltInside,5,refuge,n,1.35,1.11,0.37,y,81.4,-0.94,0,NA,crevice,3.45,-0.94,181,97,10-Sep,100black,0,black,n,basalt,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
50,KahuluiBreakwaterBasaltInside,6,refuge,n,1.49,1.24,0.44,n,22,-6.4,0,NA,underrock,1.9,-0.5,312,98,12-Nov,100black,0,tanbrown,y,basalt,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
51,KahuluiBreakwaterBasaltInside,7,exposed,n,1.32,1.06,0.38,y,36.3,-1.6,-1.6,NA,crevice,8,-1.6,128,106,13-14,100black,0,tan,n,concrete,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
52,KahuluiBreakwaterBasaltInside,8,exposed,n,1.33,1.06,0.34,y,52.9,-0.78,-0.28,NA,crevice,5.5,-0.78,96,110,15-16,100black,0,tan,n,basalt,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
51,KahuluiBreakwaterBasaltInside,9,refuge,n,1.15,0.89,0.31,y,81.1,-0.85,0,NA,underrock,2.8,-0.85,282,106,17-19,100black,0,tan,n,basalt,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
52,KahuluiBreakwaterBasaltInside,10,refuge,n,1.38,1.12,0.37,y,71.8,-0.34,0,NA,crevice,2.56,-0.34,88,110,20-21,100black,0,tan,n,basalt,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
54,KahuluiBreakwaterBasaltInside,11,exposed,n,1.72,1.33,0.51,y,94.3,-2.04,-2.04,NA,underrock,1.67,-2.04,96,100,22-23,100black,0,tan,n,basalt,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
54,KahuluiBreakwaterBasaltInside,12,refuge,n,1.76,1.42,0.6,y,110.7,-0.33,0,NA,crevice,3.36,-0.33,296,100,24-25,100black,0,brown,n,basalt,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
55,KahuluiBreakwaterBasaltInside,13,exposed,n,NA,1.35,0.58,y,98.2,-1.22,-0.65,NA,underrock,5,-1.22,64,93,26-27,100black,0,tanbrown,n,basalt,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
55,KahuluiBreakwaterBasaltInside,14,refuge,n,1.38,1.12,0.49,y,142.9,-1.36,0,NA,underrock,4.6,-1.36,90,93,28-29,100black,0,tan,n,basalt,all dist 0.15ft longer than should be,n,boulder,NA,NA,NA,bb
