sample_id_detailed	location	sublocation	location_name	life_stage	sample_id_bscan	site_id_ch4	sample_id_luzxl	site_id_optimal	substratum	shore_type		wave_exposure	managed_by	mgmt	enforcement	date_collection	shore_aspect
opihiSK2017-Lanai-Kalae-KonaKamao-A	Lanai	Kalae	KonaKamao	A	23	1	1	13	basalt	bench_boulder		exposed	government	no take	yes	2017-05	S
opihiSK2017-Lanai-Kalae-KonaKamao-J	Lanai	Kalae	KonaKamao	J	24	1	2	13	basalt	bench_boulder		exposed	government	no take	yes	2017-05	S
opihiSK2017-Maalaea-LightHouse-KealaloloaKumaalaea-A	Maalaea	LightHouse	KealaloloaKumaalaea	A	27	2	3	12	basalt			exposed	no mgmt	open	no	2017-02	S
opihiSK2017-Maalaea-LightHouse-KealaloloaKumaalaea-J	Maalaea	LightHouse	KealaloloaKumaalaea	J	28	2	4	12	basalt			exposed	no mgmt	open	no	2017-02	S
opihiSK2017-HonokahuaBay-KanapaliHonokahua-A	HonokahuaBay	Kapalua	KaanapaliHonokahua	A	11	3	5	1	basalt	slope_bench		exposed	government	no take	yes	2017-05	N
opihiSK2017-HonokahuaBay-KanapaliHonokahua-J	HonokahuaBay	Kapalua	KaanapaliHonokahua	J	12	3	6	1	basalt	slope_bench		exposed	government	no take	yes	2017-05	N
opihiSK2017-Kahului-BreakWaterBasalt-WailukuWaikapu-A	Kahului	BreakWaterBasalt	WailukuWaikapu	A	19	4	7	2	basalt	riprap		exposed	no mgmt	open	no	2017-02	N
opihiSK2017-Kahului-BreakWaterBasalt-WailukuWaikapu-J	Kahului	BreakWaterBasalt	WailukuWaikapu	J	20	4	8	2	basalt	riprap		exposed	no mgmt	open	no	2017-02	N
opihiSK2017-Kahului-BreakWaterConcrete-WailukuWaikapu-A	Kahului	BreakWaterConcrete	WailukuWaikapu	A	21	5	9	2	concrete	riprap		exposed	no mgmt	open	no	2017-02	N
opihiSK2017-Kahului-BreakWaterConcrete-WailukuWaikapu-J	Kahului	BreakWaterConcrete	WailukuWaikapu	J	22	5	10	2	concrete	riprap		exposed	no mgmt	open	no	2017-02	N
opihiSK2017-Hookipa-PillboxTurtleBay-HamakuapokoPaihiihi-A	Hookipa	PillboxTurtleBay	HamakuapokoPaihiihi	A	15	6	11	3	basalt	cliff_slope_boulder		exposed	no mgmt	open	no	2017-05	N
opihiSK2017-Hookipa-PillboxTurtleBay-HamakuapokoPaihiihi-J	Hookipa	PillboxTurtleBay	HamakuapokoPaihiihi	J	16	6	12	3	basalt	cliff_slope_boulder		exposed	no mgmt	open	no	2017-05	N
