photo_file	exif_datetime_original	camera_make	camera_model	canon_image_number	inferred_photo_number	GPSwpt	Site	IndivID	Pics	association_confidence	association_basis	notes
IMG_5739.JPG	2023:06:12 01:57:04	Canon	Canon PowerShot D10	5739	27	69	HonoluaAdjacentInnerSide	29	27-28	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics note says canon cam here and below.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5740.JPG	2023:06:12 01:57:12	Canon	Canon PowerShot D10	5740	28	69	HonoluaAdjacentInnerSide	29	27-28	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics note says canon cam here and below.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5741.JPG	2023:06:12 01:58:09	Canon	Canon PowerShot D10	5741	29	69	HonoluaAdjacentInnerSide	30	29-30	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5742.JPG	2023:06:12 01:58:15	Canon	Canon PowerShot D10	5742	30	69	HonoluaAdjacentInnerSide	30	29-30	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5743.JPG	2023:06:12 02:00:10	Canon	Canon PowerShot D10	5743	31	70	HonoluaAdjacentInnerSide	31	31-32	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5744.JPG	2023:06:12 02:00:18	Canon	Canon PowerShot D10	5744	32	70	HonoluaAdjacentInnerSide	31	31-32	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5745.JPG	2023:06:12 03:54:36	Canon	Canon PowerShot D10	5745	33	70	HonoluaAdjacentInnerSide	32	33-34	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5746.JPG	2023:06:12 03:54:44	Canon	Canon PowerShot D10	5746	34	70	HonoluaAdjacentInnerSide	32	33-34	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5747.JPG	2023:06:12 04:06:21	Canon	Canon PowerShot D10	5747	35	71	HonoluaAdjacentInnerSide	33	35-36	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5748.JPG	2023:06:12 04:06:27	Canon	Canon PowerShot D10	5748	36	71	HonoluaAdjacentInnerSide	33	35-36	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
